name,group,vote,Groupe,Parti,Genre,Âge,Région,District,Fonction,affairVoteId
Tarcis ANÇAY,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,01.03.1970,Valais romand,Sierre,Député-e suppléant-e,20191213181927
Géraldine ARLETTAZ-MONNET,PLR,Oui/Ja,PLR,PLR,F,14.05.1976,Valais romand,Martigny,Député-e,20191213181927
Valentin AYMON,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,01.09.1993,Valais romand,Sion,Député-e suppléant-e,20191213181927
Aristide BAGNOUD,PDCC,Oui/Ja,PDCC,PDC,H,03.01.1957,Valais romand,Sierre,Député-e,20191213181927
Jasmine BALLAY,PLR,Oui/Ja,PLR,PLR,F,16.05.1978,Valais romand,St-Maurice,Député-e suppléant-e,20191213181927
Benoît BARRAS,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,02.04.1995,Valais romand,Sierre,Député-e suppléant-e,20191213181927
Jérôme BEFFA,CSPO,Oui/Ja,CSPO,PDC,H,21.03.1996,Haut-Valais,Brig,Député-e suppléant-e,20191213181927
Benoît BENDER,PDCB,Oui/Ja,PDCB,PDC,H,20.03.1970,Valais romand,Martigny,Député-e,20191213181927
Jasmin BERCHTOLD,SVPO,Oui/Ja,SVPO,UDC,F,27.08.1980,Haut-Valais,Brig,Député-e suppléant-e,20191213181927
Charline BERGUERAND,PDCB,Oui/Ja,PDCB,PDC,F,27.12.1983,Valais romand,Martigny,Député-e suppléant-e,20191213181927
Paul BIFFIGER,SVPO,Oui/Ja,SVPO,UDC,H,16.03.1959,Haut-Valais,Visp,Député-e,20191213181927
Nathalie BINER,SVPO,Oui/Ja,SVPO,UDC,F,07.07.1986,Haut-Valais,Visp,Député-e suppléant-e,20191213181927
Gwénolé BLANCHET,Les Verts,Oui/Ja,Les Verts,Les Verts,H,28.12.1988,Valais romand,Monthey,Député-e suppléant-e,20191213181927
Joël BONNARD,PDCC,Oui/Ja,PDCC,PDC,H,01.01.1963,Valais romand,Sierre,Député-e,20191213181927
Claire-Lise BONVIN,PDCC,Oui/Ja,PDCC,PDC,F,09.01.1965,Valais romand,Sion,Député-e,20191213181927
Didier BONVIN,PLR,Oui/Ja,PLR,PLR,H,13.02.1958,Valais romand,Sion,Député-e suppléant-e,20191213181927
Ruth BORNET-STUDER,PLR,Oui/Ja,PLR,PLR,F,08.12.1960,Valais romand,Sion,Député-e suppléant-e,20191213181927
Nino BRUNNER,CVPO,Oui/Ja,CVPO,PDC,H,30.08.1988,Haut-Valais,Westlich Raron,Député-e suppléant-e,20191213181927
Blaise CARRON,AdG/LA,Oui/Ja,AdG/LA,AdG/LA,H,03.04.1974,Valais romand,Monthey,Député-e,20191213181927
Nicole CARRUPT,PLR,Oui/Ja,PLR,PLR,F,10.06.1972,Valais romand,Martigny,Député-e,20191213181927
Moreno CENTELLEGHE,PLR,Oui/Ja,PLR,PLR,H,10.12.1963,Valais romand,St-Maurice,Député-e,20191213181927
Christophe CLAIVAZ,PLR,Oui/Ja,PLR,PLR,H,16.06.1973,Valais romand,Conthey,Député-e,20191213181927
Diego CLAUSEN,CSPO,Oui/Ja,CSPO,PDC,H,20.12.1966,Haut-Valais,Brig,Député-e,20191213181927
Charles CLERC,UDC,Oui/Ja,UDC,UDC,H,29.06.1964,Valais romand,Monthey,Député-e,20191213181927
Mathieu CLERC,Les Verts,Oui/Ja,Les Verts,Les Verts,H,29.03.1989,Valais romand,Conthey,Député-e,20191213181927
